Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/2/2021,VENTRA ACCOUNT 877-669-8368 IL 05436841214000250160498,CHECKCARD  0801 VENTRA ACCOUNT                              877-669-8368 IL 05436841214000250160498,0.25,debit,Public Transportation,Adv Plus Banking - 4686,,
8/2/2021,FBR: Lollapalooza Austin TX 75345511213212221845742,CHECKCARD  0731 FBR: Lollapalooza                           Austin       TX 75345511213212221845742,12,debit,Alcohol & Bars,Adv Plus Banking - 4686,,
8/2/2021,MOBILE PURCHASE 0730 VENTRA ACCOUNT CHICAGO IL 05436841212000360611333,MOBILE PURCHASE 0730  VENTRA ACCOUNT                        CHICAGO      IL 05436841212000360611333,2.5,debit,Public Transportation,Adv Plus Banking - 4686,,
8/2/2021,MOBILE PURCHASE 0801 VENTRA ACCOUNT CHICAGO IL 05436841214000306864895,MOBILE PURCHASE 0801  VENTRA ACCOUNT                        CHICAGO      IL 05436841214000306864895,5,debit,Public Transportation,Adv Plus Banking - 4686,,
8/2/2021,Starbucks,CHECKCARD  0731 STARBUCKS STORE 1                           CHICAGO      IL 55432861213200364774790,5.53,debit,Coffee Shops,Adv Plus Banking - 4686,,
7/30/2021,MOBILE PURCHASE 0729 VENTRA ACCOUNT CHICAGO IL 05436841211000350980780,MOBILE PURCHASE 0729  VENTRA ACCOUNT                        CHICAGO      IL 05436841211000350980780,2.5,debit,Public Transportation,Adv Plus Banking - 4686,,
7/30/2021,Uber Eats,CHECKCARD  0730 UBER   EATS                                 8005928996   CA 55429501211717088250137,43.57,debit,Food & Dining,Adv Plus Banking - 4686,,
7/30/2021,TST* GODDESS AND CHICAGO IL 02305371210200059915160,CHECKCARD  0729 TST* GODDESS AND                            CHICAGO      IL 02305371210200059915160,18.82,debit,Coffee Shops,Adv Plus Banking - 4686,,
7/29/2021,TST* GODDESS AND CHICAGO IL 02305371209200055043762,CHECKCARD  0728 TST* GODDESS AND                            CHICAGO      IL 02305371209200055043762,11.59,debit,Coffee Shops,Adv Plus Banking - 4686,,
7/29/2021,Venmo,PMNT SENT  0728 VENMO                                       8558124430   NY 55480771209602944421271,120,debit,Transfer,Adv Plus Banking - 4686,,
7/29/2021,THE SMITH - RIVER CHICAGO IL 75369431209042100497960,CHECKCARD  0727 THE SMITH - RIVER                           CHICAGO      IL 75369431209042100497960,49.83,debit,Restaurants,Adv Plus Banking - 4686,,
7/28/2021,ATM Fee,00000000023374  07/28 #000229541 WITHDRWL                   Sunny River North  Chicago       IL,3,debit,ATM Fee,Adv Plus Banking - 4686,,
7/28/2021,07/28 #000229541 WITHDRWL Sunny River North Chicago IL,00000000023374  07/28 #000229541 WITHDRWL                   Sunny River North  Chicago       IL,100,debit,Cash & ATM,Adv Plus Banking - 4686,,
7/28/2021,Uber.com,CHECKCARD  0728 UBER   TRIP                                 8005928996   CA 55429501209745885187297,1,debit,Rental Car & Taxi,Adv Plus Banking - 4686,,
7/28/2021,Online Banking transfer from CHK 0127 Confirmation# 3249641552,Online Banking transfer from CHK 0127                       Confirmation# 3249641552,2000.5,credit,Transfer,Adv Plus Banking - 4686,,
7/28/2021,07/28 #000229541 WITHDRWL Sunny River North Chicago IL FEE,00000000023374  07/28 #000229541 WITHDRWL                   Sunny River North  Chicago       IL   FEE,2.5,debit,Cash & ATM,Adv Plus Banking - 4686,,
7/28/2021,TACODELI SPYGLASS 5127320303 TX 55417411209091638000552,CHECKCARD  0727 TACODELI SPYGLASS                           5127320303   TX 55417411209091638000552,8.59,debit,Restaurants,Adv Plus Banking - 4686,,
7/27/2021,Walgreens,WALGREENS 2501  07/27 #000538695 PURCHASE                   WALGREENS 2501 S   AUSTIN        TX,7.99,debit,Pharmacy,Adv Plus Banking - 4686,,
7/26/2021,Gueros,CHECKCARD  0724 GUEROS                                      AUSTIN       TX 05314611206500195637462,19.01,debit,Restaurants,Adv Plus Banking - 4686,,
7/26/2021,FUJIYAMA JAPANESE AUSTIN TX 02306631205000550400420,CHECKCARD  0723 FUJIYAMA JAPANESE                           AUSTIN       TX 02306631205000550400420,48.22,debit,Restaurants,Adv Plus Banking - 4686,,
7/26/2021,7-Eleven,7-ELEVEN        07/24 #000425693 PURCHASE                   7-ELEVEN           AUSTIN        TX,3.49,debit,Fast Food,Adv Plus Banking - 4686,,
7/26/2021,TST* AUSTIN DAILY AUSTIN TX 02305371205100104150648,CHECKCARD  0724 TST* AUSTIN DAILY                           AUSTIN       TX 02305371205100104150648,12.18,debit,Restaurants,Adv Plus Banking - 4686,,
7/26/2021,Luke's Inside Out,CHECKCARD  0724 SQ *LUKE'S INSIDE                           Austin       TX 55432861206200287454396,14.01,debit,Restaurants,Adv Plus Banking - 4686,,
7/26/2021,Uber.com,CHECKCARD  0724 UBER   TRIP                                 8005928996   CA 55429501205743576060596,8.82,debit,Rental Car & Taxi,Adv Plus Banking - 4686,,
7/22/2021,Pampered Pets,CHECKCARD  0721 PAMPERED PETS                               AUSTIN       TX 75454911202900013100068,92.01,debit,Pets,Adv Plus Banking - 4686,,
7/22/2021,TST* EASY TIGER - AUSTIN TX 02305371203100112793605,CHECKCARD  0722 TST* EASY TIGER -                           AUSTIN       TX 02305371203100112793605,8.33,debit,Restaurants,Adv Plus Banking - 4686,,
7/22/2021,ZLEAGUE.GG MARINA DEL RECA 82305091202000016609880,CHECKCARD  0721 ZLEAGUE.GG                                  MARINA DEL RECA 82305091202000016609880,2,debit,Entertainment,Adv Plus Banking - 4686,,
7/21/2021,"TRINET DES:PAYROLL ID: INDN:GRANOFF,ELI CO ID: PPD","TRINET           DES:PAYROLL    ID:XXXXX059023               INDN:GRANOFF,ELI             CO ID:XXXXX81033 PPD",109.9,credit,Paycheck,Adv Plus Banking - 4686,,
7/21/2021,Kome Sushi,PURCHASE   0721 TST* KOME SUSHI K                           512-712-5700 TX 02305371202500291146056,85.85,debit,Restaurants,Adv Plus Banking - 4686,,
7/21/2021,Online Banking transfer from CHK 0127 Confirmation# 7389310818,Online Banking transfer from CHK 0127                       Confirmation# 7389310818,64,credit,Transfer,Adv Plus Banking - 4686,,
7/20/2021,Asos.com,CHECKCARD  0719 ASOS.COM                                    ASOS.COM     GA 55432861200200809199699,116.91,debit,Clothing,Adv Plus Banking - 4686,,
7/20/2021,Venmo,PMNT SENT  0719 VENMO                                       8558124430   NY 55480771200602136339603,1130.55,debit,Transfer,Adv Plus Banking - 4686,,
7/20/2021,Venmo,PMNT SENT  0719 VENMO                                       8558124430   NY 55480771200602058813684,40.6,debit,Transfer,Adv Plus Banking - 4686,,
7/20/2021,Online Banking transfer from CHK 0127 Confirmation# 7182697920,Online Banking transfer from CHK 0127                       Confirmation# 7182697920,85.85,credit,Transfer,Adv Plus Banking - 4686,,
7/19/2021,Online Banking transfer from CHK 0127 Confirmation# 5365311106,Online Banking transfer from CHK 0127                       Confirmation# 5365311106,50,credit,Transfer,Adv Plus Banking - 4686,,
7/19/2021,SP * JUNK BRANDS ROGERS AR 82711161200000001317391,CHECKCARD  0718 SP * JUNK BRANDS                            ROGERS       AR 82711161200000001317391,46.75,debit,Shopping,Adv Plus Banking - 4686,,
7/19/2021,LA Fitness,CHECKCARD  0719 LA FITNESS                                  9492558100   CA 55429501200084014080705 RECURRING,37.88,debit,Gym,Adv Plus Banking - 4686,,
7/19/2021,TST* ZEN JAPANESE AUSTIN TX 02305371198300265246180,CHECKCARD  0717 TST* ZEN JAPANESE                           AUSTIN       TX 02305371198300265246180,13.13,debit,Restaurants,Adv Plus Banking - 4686,,
7/19/2021,Apple,CHECKCARD  0718 APPLE.COM/BILL                              866-712-7753 CA 55432861199200338832730 RECURRING,8.65,debit,Electronics & Software,Adv Plus Banking - 4686,,
7/19/2021,Online Banking transfer from CHK 0127 Confirmation# 6473045664,Online Banking transfer from CHK 0127                       Confirmation# 6473045664,600,credit,Transfer,Adv Plus Banking - 4686,,
7/19/2021,SEE TICKETS *SEVE 323-9080607 CA 75418231197125974855568,CHECKCARD  0716 SEE TICKETS *SEVE                           323-9080607  CA 75418231197125974855568,30.97,debit,Entertainment,Adv Plus Banking - 4686,,
7/16/2021,Summit,CHECKCARD  0715 SUMMIT* T19015400                           AUSTIN       TX 82305091196000019775272,12,debit,Alcohol & Bars,Adv Plus Banking - 4686,,
7/16/2021,Chick-Fil-A,CHECKCARD  0714 CHICK-FIL-A #0017                           AUSTIN       TX 05140481196710004884284,7.25,debit,Fast Food,Adv Plus Banking - 4686,,
7/14/2021,Hollister,HOLLISTER 2901  07/14 #000019931 PURCHASE                   HOLLISTER 2901 S   AUSTIN        TX,70.31,debit,Clothing,Adv Plus Banking - 4686,,
7/14/2021,PACSUN #0263 07/14 #000080616 PURCHASE 2901 CAPITAL OF T AUSTIN TX,PACSUN #0263    07/14 #000080616 PURCHASE                   2901 CAPITAL OF T  AUSTIN        TX,37.89,debit,Clothing,Adv Plus Banking - 4686,,
7/14/2021,AMY'S ICE CRE Austin TX 55432861195200120982143,CHECKCARD  0713 SQ *AMY'S ICE CRE                           Austin       TX 55432861195200120982143,8.26,debit,Restaurants,Adv Plus Banking - 4686,,
7/13/2021,Venmo,PMNT SENT  0712 VENMO                                       8558124430   NY 55480771193602473346897,200,debit,Transfer,Adv Plus Banking - 4686,,
7/13/2021,SA Ten,CHECKCARD  0713 TST* SA-TEN COFFE                           AUSTIN       TX 02305371194100077462163,17.68,debit,Restaurants,Adv Plus Banking - 4686,,
7/12/2021,Venmo,PMNT SENT  0711 VENMO                                       8558124430   NY 55480771192602370061830,24.35,debit,Transfer,Adv Plus Banking - 4686,,
7/12/2021,Online Banking transfer from CHK 0127 Confirmation# 6311895353,Online Banking transfer from CHK 0127                       Confirmation# 6311895353,166,credit,Transfer,Adv Plus Banking - 4686,,
7/9/2021,A1220003 07/09 #000520301 WITHDRWL PLACA 16 DUBROVNIK INTERNATIONAL TRANSACTION FEE,A1220003        07/09 #000520301 WITHDRWL                   PLACA 16           DUBROVNIK                                INTERNATIONAL TRANSACTION FEE,0.48,debit,Cash & ATM,Adv Plus Banking - 4686,,
7/9/2021,A1220003 07/09 #000520301 WITHDRWL PLACA 16 DUBROVNIK,A1220003        07/09 #000520301 WITHDRWL                   PLACA 16           DUBROVNIK,15.85,debit,Cash & ATM,Adv Plus Banking - 4686,,
7/9/2021,A1220003 07/09 #000520301 WITHDRWL PLACA 16 DUBROVNIK FEE,A1220003        07/09 #000520301 WITHDRWL                   PLACA 16           DUBROVNIK          FEE,5,debit,Cash & ATM,Adv Plus Banking - 4686,,
7/6/2021,"TRINET DES:PAYROLL ID: INDN:GRANOFF,ELI CO ID: PPD","TRINET           DES:PAYROLL    ID:XXXXX059023               INDN:GRANOFF,ELI             CO ID:XXXXX81033 PPD",204.09,credit,Paycheck,Adv Plus Banking - 4686,,
7/2/2021,Austin Bouldering Proj,CHECKCARD  0701 AUSTIN BOULDERING                           AUSTIN       TX 55421351182939150502269,5.41,debit,Gym,Adv Plus Banking - 4686,,
6/30/2021,SEE TICKETS *LIGH 323-9080607 CA 75418231180124677878430,CHECKCARD  0629 SEE TICKETS *LIGH                           323-9080607  CA 75418231180124677878430,192.38,debit,Entertainment,Adv Plus Banking - 4686,,
6/29/2021,SP * ELECTRIC FAM 4242538449 CA 55429501179637727095885,CHECKCARD  0628 SP * ELECTRIC FAM                           4242538449   CA 55429501179637727095885,77,debit,Entertainment,Adv Plus Banking - 4686,,
6/29/2021,P Terrys Burger Stand,CHECKCARD  0628 P TERRYS BURGER S                           AUSTIN       TX 05314611180500191508097,8.66,debit,Fast Food,Adv Plus Banking - 4686,,
6/28/2021,TACODELI SPYGLASS 5127320303 TX 55417411178091637000527,CHECKCARD  0626 TACODELI SPYGLASS                           5127320303   TX 55417411178091637000527,9.49,debit,Restaurants,Adv Plus Banking - 4686,,
6/28/2021,East Side King,PURCHASE   0625 TST* EAST SIDE KI                           512-383-8382 TX 02305371176100106066961,31.18,debit,Restaurants,Adv Plus Banking - 4686,,
6/28/2021,TST* JUICELAND - AUSTIN TX 02305371179100066208758,CHECKCARD  0628 TST* JUICELAND -                            AUSTIN       TX 02305371179100066208758,7.77,debit,Restaurants,Adv Plus Banking - 4686,,
6/21/2021,"TRINET DES:PAYROLL ID: INDN:GRANOFF,ELI CO ID: PPD","TRINET           DES:PAYROLL    ID:XXXXX059023               INDN:GRANOFF,ELI             CO ID:XXXXX81033 PPD",31.4,credit,Paycheck,Adv Plus Banking - 4686,,
6/21/2021,NNT MSBILL.INF MSBILL.INFO WA,CHECKCARD  0621 NNT MSBILL.INF                              MSBILL.INFO  WA,1.08,debit,Entertainment,Adv Plus Banking - 4686,,
6/21/2021,LA FIT *ANNUALFEE 9492558100 TX 55429501170084014539847 RECURRING,CHECKCARD  0619 LA FIT *ANNUALFEE                           9492558100   TX 55429501170084014539847 RECURRING,53.04,debit,Gym,Adv Plus Banking - 4686,,
6/21/2021,GONG CHA. AUSTIN TX 55500801171010000175317,CHECKCARD  0619 GONG CHA.                                   AUSTIN       TX 55500801171010000175317,6.04,debit,Coffee Shops,Adv Plus Banking - 4686,,
6/21/2021,LA Fitness,CHECKCARD  0619 LA FITNESS                                  9492558100   CA 55429501170084010498733 RECURRING,37.88,debit,Gym,Adv Plus Banking - 4686,,
6/18/2021,PACHA ORGANIC Austin TX 55432861168200481572874,CHECKCARD  0617 SQ *PACHA ORGANIC                           Austin       TX 55432861168200481572874,17.94,debit,Restaurants,Adv Plus Banking - 4686,,
6/18/2021,METHOD THR* THEVE AUSTIN TX 82711161169000008052206,CHECKCARD  0618 METHOD THR* THEVE                           AUSTIN       TX 82711161169000008052206,18.6,debit,Restaurants,Adv Plus Banking - 4686,,
6/17/2021,TST* VOODOO DOUGH AUSTIN TX 02305371168100079113642,CHECKCARD  0617 TST* VOODOO DOUGH                           AUSTIN       TX 02305371168100079113642,7,debit,Restaurants,Adv Plus Banking - 4686,,
6/15/2021,PAS*PASSPT AUSTIN 704-817-2500 NC 05436841166000277763017,CHECKCARD  0614 PAS*PASSPT AUSTIN                           704-817-2500 NC 05436841166000277763017,10,debit,Spa & Massage,Adv Plus Banking - 4686,,
6/11/2021,Ryanair,CHECKCARD  0609 RYANAIR0000000F9S                           DUBLIN          82706141161313799761365                     INTERNATIONAL TRANSACTION FEE,0.98,debit,Air Travel,Adv Plus Banking - 4686,,
6/11/2021,Ryanair,CHECKCARD  0609 RYANAIR0000000F9S                           DUBLIN          82706141161313799761365,32.71,debit,Air Travel,Adv Plus Banking - 4686,,
6/10/2021,JetBlue,CHECKCARD  0608 JETBLUE                                     8005382583   UT 55417411160661901044425,278.4,debit,Air Travel,Adv Plus Banking - 4686,,
6/9/2021,AMERICAN 8004337300 TX 52704871160634001182928,CHECKCARD  0609 AMERICAN                                    8004337300   TX 52704871160634001182928,354.2,debit,Air Travel,Adv Plus Banking - 4686,,
6/7/2021,"TRINET DES:PAYROLL ID: INDN:GRANOFF,ELI CO ID: PPD","TRINET           DES:PAYROLL    ID:XXXXX059023               INDN:GRANOFF,ELI             CO ID:XXXXX81033 PPD",141.29,credit,Paycheck,Adv Plus Banking - 4686,,
6/3/2021,INSTAMENU AUSTIN TX 82305091153000016836979,CHECKCARD  0602 INSTAMENU                                   AUSTIN       TX 82305091153000016836979,26.93,debit,Restaurants,Adv Plus Banking - 4686,,
6/3/2021,MERIT SOUTH L Austin TX 55432861153200108999382,CHECKCARD  0602 SQ *MERIT SOUTH L                           Austin       TX 55432861153200108999382,12.34,debit,Restaurants,Adv Plus Banking - 4686,,
6/2/2021,Austin Bouldering Proj,CHECKCARD  0601 AUSTIN BOULDERING                           AUSTIN       TX 55421351152939167316840,5.41,debit,Gym,Adv Plus Banking - 4686,,
6/1/2021,Guitar Center,GUITAR CENTER   05/29 #000984316 PURCHASE                   GUITAR CENTER #46  AUSTIN        TX,8,debit,Music,Adv Plus Banking - 4686,,
6/1/2021,GARAGE AUSTIN TX 05259581149500193568109,CHECKCARD  0529 GARAGE                                      AUSTIN       TX 05259581149500193568109,18.16,debit,Parking,Adv Plus Banking - 4686,,
6/1/2021,7-Eleven,7-ELEVEN        05/29 #000273637 PURCHASE                   7-ELEVEN           AUSTIN        TX,5.78,debit,Fast Food,Adv Plus Banking - 4686,,
6/1/2021,parkreceipts.com FRISCO TX 85544021150001455411054,CHECKCARD  0529 parkreceipts.com                            FRISCO       TX 85544021150001455411054,6.75,debit,Fast Food,Adv Plus Banking - 4686,,
6/1/2021,TACODELI SPYGLASS 5127320303 TX 55417411151091630002117,CHECKCARD  0530 TACODELI SPYGLASS                           5127320303   TX 55417411151091630002117,25.97,debit,Restaurants,Adv Plus Banking - 4686,,
6/1/2021,BKOFAMERICA MOBILE 06/01 3694510811 DEPOSIT *MOBILE TX,BKOFAMERICA MOBILE 06/01 3694510811 DEPOSIT                                    *MOBILE       TX,200,credit,Income,Adv Plus Banking - 4686,,
6/1/2021,Nike,CHECKCARD  0529 Nike by South Con                           Austin       TX 15270211149002641158722,129.9,debit,Clothing,Adv Plus Banking - 4686,,
6/1/2021,7-Eleven,7-ELEVEN        05/30 #000863166 PURCHASE                   7-ELEVEN           AUSTIN        TX,2.15,debit,Fast Food,Adv Plus Banking - 4686,,
5/28/2021,EB ATX COP N SWAP 8014137200 CA 55429501148719318377951,CHECKCARD  0528 EB ATX COP N SWAP                           8014137200   CA 55429501148719318377951,15,debit,Entertainment,Adv Plus Banking - 4686,,
5/27/2021,BKOFAMERICA MOBILE 05/27 3684382331 DEPOSIT *MOBILE TX,BKOFAMERICA MOBILE 05/27 3684382331 DEPOSIT                                    *MOBILE       TX,118,credit,Income,Adv Plus Banking - 4686,,
5/27/2021,BKOFAMERICA MOBILE 05/27 3850236402 DEPOSIT *MOBILE TX,BKOFAMERICA MOBILE 05/27 3850236402 DEPOSIT                                    *MOBILE       TX,100,credit,Income,Adv Plus Banking - 4686,,
5/27/2021,BKOFAMERICA MOBILE 05/27 3684383435 DEPOSIT *MOBILE TX,BKOFAMERICA MOBILE 05/27 3684383435 DEPOSIT                                    *MOBILE       TX,300,credit,Income,Adv Plus Banking - 4686,,
5/27/2021,BKOFAMERICA MOBILE 05/27 3684379325 DEPOSIT *MOBILE TX,BKOFAMERICA MOBILE 05/27 3684379325 DEPOSIT                                    *MOBILE       TX,200,credit,Income,Adv Plus Banking - 4686,,
5/27/2021,BKOFAMERICA MOBILE 05/27 3850239630 DEPOSIT *MOBILE TX,BKOFAMERICA MOBILE 05/27 3850239630 DEPOSIT                                    *MOBILE       TX,250,credit,Income,Adv Plus Banking - 4686,,
5/27/2021,EB JULY 4TH NGHTM 8014137200 CA 55429501146717187774797,CHECKCARD  0526 EB JULY 4TH NGHTM                           8014137200   CA 55429501146717187774797,38.74,debit,Entertainment,Adv Plus Banking - 4686,,
5/26/2021,AMY'S ICE CRE Austin TX 55432861146200071756520,CHECKCARD  0525 SQ *AMY'S ICE CRE                           Austin       TX 55432861146200071756520,8.6,debit,Restaurants,Adv Plus Banking - 4686,,
5/24/2021,Nordstrom,NORDSTROM #073  05/22 #000022833 PURCHASE                   2901 S CAPITAL OF  AUSTIN        TX,24.68,debit,Clothing,Adv Plus Banking - 4686,,
5/21/2021,"TRINET DES:PAYROLL ID: INDN:GRANOFF,ELI CO ID: PPD","TRINET           DES:PAYROLL    ID:XXXXX059023               INDN:GRANOFF,ELI             CO ID:XXXXX81033 PPD",156.99,credit,Paycheck,Adv Plus Banking - 4686,,
5/21/2021,TST* THE FAR OUT AUSTIN TX 02305371141100092524520,CHECKCARD  0521 TST* THE FAR OUT                            AUSTIN       TX 02305371141100092524520,12.98,debit,Restaurants,Adv Plus Banking - 4686,,
5/20/2021,"Zelle Transfer Conf# o5h7r1xj9; GLASS, BRAXTON","Zelle Transfer Conf# o5h7r1xj9;                             GLASS, BRAXTON",1000,credit,Transfer,Adv Plus Banking - 4686,,
5/20/2021,LA Fitness,CHECKCARD  0519 LA FITNESS                                  9492558100   CA 55429501139084022312070 RECURRING,37.88,debit,Gym,Adv Plus Banking - 4686,,
5/19/2021,Mandola's Italian Market,CHECKCARD  0518 MANDOLAS ITALIAN                            AUSTIN       TX 02306631139500278445756,18.7,debit,Restaurants,Adv Plus Banking - 4686,,
5/19/2021,Online Banking transfer from CHK 0127 Confirmation# 1343258628,Online Banking transfer from CHK 0127                       Confirmation# 1343258628,150,credit,Transfer,Adv Plus Banking - 4686,,
5/18/2021,Overdraft Protection Transfer Fee,Overdraft Protection Transfer Fee,12,debit,Bank Fee,Adv Plus Banking - 4686,,
5/18/2021,GONG CHA. AUSTIN TX 55500801137010000958236,CHECKCARD  0516 GONG CHA.                                   AUSTIN       TX 55500801137010000958236,6.04,debit,Coffee Shops,Adv Plus Banking - 4686,,
5/18/2021,OVERDRAFT PROTECTION FROM 00586031230127,OVERDRAFT PROTECTION FROM 00586031230127,26.95,credit,Bank Fee,Adv Plus Banking - 4686,,
5/18/2021,Venmo,PMNT SENT  0518 VENMO                                       8558124430   NY 55480771138602482049753,17.55,debit,Transfer,Adv Plus Banking - 4686,,
5/18/2021,Online Banking transfer from CHK 0127 Confirmation# 1338429933,Online Banking transfer from CHK 0127                       Confirmation# 1338429933,50,credit,Transfer,Adv Plus Banking - 4686,,
5/17/2021,Venmo,PMNT SENT  0515 VENMO                                       8558124430   NY 55480771135602230776932,34.78,debit,Transfer,Adv Plus Banking - 4686,,
5/17/2021,Online Banking transfer from CHK 0127 Confirmation# 3409640114,Online Banking transfer from CHK 0127                       Confirmation# 3409640114,60,credit,Transfer,Adv Plus Banking - 4686,,
5/17/2021,Venmo,PMNT SENT  0515 VENMO                                       8558124430   NY 55480771135602217392372,37,debit,Transfer,Adv Plus Banking - 4686,,
